MovieID,Titles,Plots,Genres
34338,"Aristocrats, The (2005)","Comedy veterans and co-creators Penn Jillette and Paul Provenza capitalize on their insider status and invite over 100 of their closest friends--who happen to be some of the biggest names in entertainment, from George Carlin, Whoopi Goldberg and Drew Carey to Gilbert Gottfried, Bob Saget, Paul Reiser and Sarah Silverman--to reminisce, analyze, deconstruct and deliver their own versions of the world's dirtiest joke, an old burlesque too extreme to be performed in public, called ""The Aristocrats.""",comedy
34405,Serenity (2005),"In the future, a spaceship called Serenity is harboring a passenger with a deadly secret. Six rebels on the run. An assassin in pursuit. When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an awesome action-packed battle between the relentless military might of a totalitarian regime who will destroy anything - or anyone - to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But, the greatest danger of all may be on their ship.",sci-fi
34437,Broken Flowers (2005),"The resolutely single Don Johnston has just been dumped by his latest lover, Sherry. Don resigns himself to being alone yet again and left to his own devices. Instead, he is compelled to reflect on his past when he receives by mail a mysterious pink letter. It is from an anonymous former lover and informs him that he has a 19-year-old son who may now be looking for his father. Don is urged to investigate this ""mystery"" by his closest friend and neighbor, Winston, an amateur sleuth and family man. Hesitant to travel at all, Don nonetheless embarks on a cross-country trek in search of clues from four former flames. Unannounced visits to each of these unique women hold new surprises for Don as he haphazardly confronts both his past and, consequently, his present.",comedy
34530,Deuce Bigalow: European Gigolo (2005),"Deuce is tricked again into man-whoring by T.J., only in Amsterdam while other man-whores are being murdered in his midst.",comedy
34552,"Girl in the Café, The (2005)","Lawrence, an aging, lonely civil servant falls for Gina, an enigmatic young woman. When he takes her to the G8 Summit in Reykjavik, however, their bond is tested by Lawrence's professional obligations.",romance
35836,"40-Year-Old Virgin, The (2005)","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",comedy
36401,"Brothers Grimm, The (2005)",Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,fantasy
36519,Transporter 2 (2005),"Frank Martin is the best in the business. The ex-Special Forces operative hires himself out as a mercenary ""transporter"" who moves goods--human or otherwise. Very simple, he delivers, no questions asked. Frank has relocated from the French Mediterranean to Miami, Florida, where as a favor to a friend, Frank is driving for the wealthy Billings family. There's very little that can surprise The Transporter, but young Jack Billings has done just that; Frank has unexpectedly bonded with Jack, age 6, who he drives to and from school. But when Jack is kidnapped, Frank must use his battle-tested combat skills to retrieve the boy and thwart the kidnappers' master plan to release a virus that will kill anyone with whom it comes in contact.",action
37380,Doom (2005),Something has gone wrong at a remote scientific research station on Mars. All research has ceased. Communication has failed. And the messages that do get through are less than comforting. It's a level 5 quarantine and the only souls allowed in or out are the Rapid Response Tactical Squad - hardened Marines armed to the teeth with enough firepower to neutralize the enemy...or so they think.,sci-fi
37384,Waiting... (2005),"It's the dinner shift at Shenanigan's. Dan, the clueless boss, assigns Mitch, 22, a trainee, to Monty, the smooth talker who chases girls for one-night stands. Dean, a waiter, also 22, feels that life is passing him by. Dan offers him the assistant manager job and gives him until midnight to decide. Other waiters, cooks, and bus boys have their issues and personalities. Bishop, the dishwasher, is their counselor. During this shift, Monty may learn something, Dean makes his decision, Dan makes a play for the not-yet-18 hostess, customers get their comeuppance, the guys all play the in-house homophobic flashing game, the gals demonstrate why they won't, and Mitch gets the last word.",comedy
37386,Aeon Flux (2005),"400 years in the future, set in the year 2415, Aeon Flux is a mysterious assassin. Four centuries after a virus nearly annihilated the human race, leaving only five million survivors in a utopian city called Bregna. Aeon is struggling to destroy the Goodchild regime led by its namesake, Trevor Goodchild, the ruler of Bregna and a descendant of the man who found a cure for the deadly virus. As instructed by the Handler, Aeon is assigned to assassinate Goodchild, but there are deeper secrets to be discovered, and conspiracies to be foiled.",sci-fi
37477,"Man, The (2005)","A federal agent turns up dead and a hardcore undercover agent, known as Derrick Vann heads off to try and recover the stolen arms and find the killers. Andy Fiddler is an ordinary family man and a dentist, and is out heading to a conference, when he gets stuck in the same mess. Criminal Kane believes Fiddler is 'The Man' behind it all and offers him a gun. Vann spots him and drags him across town, with him posing as the actual 'Man'.",comedy
37727,Flightplan (2005),"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",action
37729,Corpse Bride (2005),"Set back in the late 1800s in a Victorian village, a man and woman by the names of Victor Van Dort and Victoria Everglot are betrothed because the Everglots need the money or else they'll be living on the streets and the Van Dorts want to be high in society. But when things go wrong at the wedding rehearsal, Victor goes into the woods to practice his vows. Just as soon as he gets them right, he finds himself married to Emily, the corpse bride. While Victoria waits on the other side, there's a rich newcomer that may take Victor's place. So two brides, one groom, who will Victor pick?",animation
37830,Final Fantasy VII: Advent Children (2004),An ex-mercenary is forced out of isolation when three mysterious men kidnap and brainwash the city's children afflicted with the Geostigma disease.,sci-fi
37857,MirrorMask (2005),"In a fantasy world of opposing kingdoms, a 15-year old girl must find the fabled MirrorMask in order to save the kingdom and get home.",fantasy
38038,Wallace & Gromit in The Curse of the Were-Rabbit (2005),"It's 'vege-mania' in Wallace and Gromit's neighborhood, and our two enterprising chums are cashing in with their humane pest-control outfit, ""Anti-Pesto."" With only days to go before the annual Giant Vegetable Competition, business is booming, but Wallace & Gromit are finding out that running a ""humane"" pest control outfit has its drawbacks as their West Wallaby Street home fills to the brim with captive rabbits. Suddenly, a huge, mysterious, veg-ravaging ""beast"" begins attacking the town's sacred vegetable plots at night, and the competition hostess, Lady Tottington, commissions Anti-Pesto to catch it and save the day. Lying in wait, however, is Lady Tottington's snobby suitor, Victor Quartermaine, who'd rather shoot the beast and secure the position of local hero-not to mention Lady Tottingon's hand in marriage. With the fate of the competition in the balance, Lady Tottington is eventually forced to allow Victor to hunt down the vegetable chomping marauder. Little does she know that Victor's real intent could have dire consequences for her ...and our two heroes.",animation
38061,Kiss Kiss Bang Bang (2005),"A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",comedy
38798,In Her Shoes (2005),"Two sisters, plus a dead mother, a remarried father, and a hostile step-mother. The sisters, each in her way, have perfected the art of losing. The elder, Rose, is an attorney, responsible, lonely, with a closet full of shoes. The younger is Maggie, beautiful, selfish, and irresponsible. Her drunken behavior gets her tossed by her step-mother from her dad's house; worse behavior gets her tossed from Rose's apartment. Then, while searching in her father's desk for money to filch, Maggie finds an address; the past and the future open up to her and, with any luck, may open to her sister as well.",romance
39052,Star Wreck: In the Pirkinning (2005),"The future looks bleak for Captain Pirk. Originally from the far future, he traveled back to save the world, but was shipwrecked on the 21st century. The world of the past is a dangerous place and he is finding it difficult to convince the ladies he is, in fact, an intergalactic space hero from the future. To make things right Pirk comes up with a questionable plan to save mankind's future...",sci-fi
39183,Brokeback Mountain (2005),"Two young men, Ennis Del Mar and Jack Twist, meet when they get a job as sheep herders on Brokeback Mountain. They are at first strangers, then they become friends. Throughout the weeks, they grow closer as they learn more about each other. One night, after some heavy drinking, they find a deeper connection. They then indulge in a blissful romance for the rest of the summer. Unable to deal with their feelings for each other, they part ways at the end of the summer. Four years go by, and they each settle down, Ennis in Wyoming with his wife and two girls, and Jack in Texas with his wife and son. Still longing for each other, they meet back up, and are faced with the fact that they need each other. They undeniably need each other, and unsure of what to do, they start a series of ""fishing trips"", in order to spend time together. The relationship struggles on for years until tragedy strikes.",romance
39444,"Weather Man, The (2005)","A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",comedy
40339,Chicken Little (2005),"After Chicken Little causes widespread panic--when he mistakes a falling acorn for a piece of the sky--the young chicken is determined to restore his reputation. But just as things are starting to go his way, a real piece of the sky lands on his head. Chicken Little and his band of misfit friends, Abby Mallard (aka Ugly Duckling), Runt of the Litter and Fish Out of Water, attempt to save the world without sending the town into a whole new panic.",animation
40581,Just Friends (2005),"Chris Brander has always been friends with Jamie Palamino, but now decides it is time to take his relationship to the next step. The problem is that Jamie still wants to be 'Just Friends'. When he runs away and moves to L.A., he becomes an attractive music manager, whom everyone wants. When his jet catches fire and is forced to land, when flying to Paris with his newest singing sensation, Samantha James, he ends up back home. To his surprise, he encounters Jamie again, and sets out to be more than 'Just Friends' this time.",romance
40629,Pride & Prejudice (2005),"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",romance
40815,Harry Potter and the Goblet of Fire (2005),Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.,fantasy
41285,Match Point (2005),"From a humble background and with traditional values, Irish Chris Wilton is still struggling financially despite being a recently retired high ranked tennis pro. He has taken a job as a tennis instructor at an upscale London tennis club, although he knows there is a better life for him somewhere down the road. He is befriended by one of his students, wealthy Tom Hewett. Chris starts to date Tom's sister, Chloe Hewett, a girl-next-door type who is immediately attracted to Chris. Chloe quickly knows she wants to marry Chris, and through her businessman father, Alec Hewett, tries to help Chris and their future by getting him an executive job in Alec's company. In his life with the Hewetts, Chris begins to enjoy the finer things in life. Through it all however, Chris cannot help thinking about Nola Rice, a struggling American actress who he meets at the Hewett estate and who is Tom's unofficial fiance. Nola is vivacious, and she knows the effect she has on men, including Chris. Unlike Chris, Nola is not accepted by Tom and Chloe's mother, the outspoken Eleanor Hewett. Chris has to decide if he can give up what he has been able to achieve with Chloe and the Hewetts, or if the passion he feels for Nola is stronger than the finer things in life to which he is now accustomed. He may go to any length to have his cake and eat it too.",romance
41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)","Four children from the same family have to leave their town because WW1 is happening. A women and a professor take the children to their house. While playing a game of hide and seek the youngest member of the family 'Lucy' finds a wardrobe to hide in. She travels back and back into the wardrobe and finds a place named Narnia. After going in twice the four children go in together for the last time. They battle wolves, meet talking animals, encounter a evil white witch and meet a magnificent lion named 'Aslan'. Will this be the end of their journey to narnia or will they stay?",fantasy
41569,King Kong (2005),"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow.",romance
41571,Memoirs of a Geisha (2005),Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,romance
41573,"Family Stone, The (2005)","An uptight, conservative, businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",comedy
41769,Mozart and the Whale (2005),"A dramatic-comedy, inspired by the lives of two people with Asperger's Syndrome, a form of autism, whose emotional dysfunctions threaten to sabotage their budding romance. Donald is a good-natured but hapless taxi driver with a love of birds and a superhuman knack for numbers. Like many people with AS, he likes patterns and routines. But when the beautiful but complicated Isabel joins the autism support group he leads, his life - and his heart - are turned upside down.",romance
42013,"Ringer, The (2005)","This comedy is about two guys who decide to rig the Special Olympics to pay off a debt by having one of them, Steve (Knoxville), pose as a contestant in the games, hoping to dethrone reigning champion, Jimmy. Mentally-challenged high jinks and hilarity surely follow.",comedy
42718,District 13 (Banlieue 13) (2004),"In the near future, the worst ghettos of Paris, France are literally walled off and among the worst is District B13. Controlled by the ruthless crime lord, Taha, a young righteous punk named Leto is determined to bring him down. When the boss retaliates by kidnapping his sister, Lola, a rescue attempt by Leto is destroyed by betrayal that gets him arrested and Lola kept in the clutches in Taha. Six months later, a crackerjack undercover cop named Damien is given a urgent mission: a neutron bomb has been stolen by Taha in District B13 which has an automatic timer function engaged and set to detonate in less than 24 hours. Now with time running out, Damien and Leto must work together to find and stop the bomb, but there is far more to this crisis than any of the field players realize.",action
42723,Hostel (2005),"3 backpackers are in Amsterdam where they get locked out of their youth hostel. They are invited into a man's house where he tells them of a hostel somewhere in eastern Europe where the women are all incredibly hot and have a taste for American men. When they get there, everything is too good to be true - the hostel is ""to die for""",action
42728,Tristan & Isolde (2006),An affair between the second in line to Britain's throne (Franco) and the princess of the feuding Irish (Myles) spells doom for the young lovers.,romance
42732,Last Holiday (2006),"Upon learning of a terminal illness, a shy woman (Queen Latifah) decides to sell off all her possessions and live it up at a posh European hotel.",romance
42734,Hoodwinked! (2005),"The candy recipes of the goody shops have been stolen by the Goody Bandit, and many animals are out of business. While the police are chasing the criminal, there is a mess at Granny's house involving Little Red Hiding Hood, The Wolf, The Woodsman and Granny, disturbing the peace in the forest. They are all arrested by the impatient Chief Grizzly. Detective Nicky Flipper is in charge of the investigation, and each accused gives his/her own version of the incident. Flipper uses the information to disclose the identity of the evil Goody Bandit.",animation
42738,Underworld: Evolution (2006),"Underworld: Evolution continues the saga of war between the vampires and the Lycans. The film goes back to the beginnings of the ancient feud between the two tribes as Selene, the beautiful vampire heroine, and Michael, the lycan hybrid, try to unlock the secrets of their bloodlines. This will be a modern tale of action, intrigue and forbidden love, which takes them into the battle to end all wars as the immortals must finally face their retribution.",action
42958,Little Manhattan (2005),"In Manhattan, 10-year-old Gabe finds his first love when he meets his former kindergarten mate, eleven-year-old Rosemary, in his karate classes. Confused with his new feelings and with the divorce process of his beloved parents, Leslie and Adam, he experiences the delightful unknown sensation of being in love for the first time.",comedy
43267,On Probation (Tiempo de Valientes) (2005),"Mariano Is a psychologist who must fulfill community service after losing a lawsuit by a traffic accident. He is forced to provide therapeutic support to Alfredo, a policeman depressed over his wife cheating on him. Mariano is then accidentally involved in a double homicide investigation being conducted by Alfredo.",action
43560,Nanny McPhee (2005),Mr. Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away. Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers.,comedy
43744,Imagine Me & You (2005),"A newlywed bride becomes infatuated with another woman, who questions her sexual orientation, promoting a stir among the bride's family and friends.",romance
43919,Date Movie (2006),"Julia Jones is unhappy. She's overweight, spends forever working at her fathers diner, and believes she will always be lonely. This is until she meets Grant Fockyerdoder. Before they can have their dream wedding, they must meet each others parents and survive the scheming Andy.",comedy
43928,Ultraviolet (2006),"Set in the late 21st century, a subculture of humans have emerged who have been modified genetically by a vampire-like disease, giving them enhanced speed, incredible stamina and acute intelligence, and as they are set apart from ""normal"" and ""healthy"" humans, the world is pushed to the brink of worldwide civil war aimed at the destruction of the ""diseased"" population. In the middle of this crossed-fire is - an infected beautiful woman - Ultraviolet, who finds herself protecting a nine-year-old boy who has been marked for death by the human government as he is believed to be a threat to humans.",sci-fi
44191,V for Vendetta (2006),"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",sci-fi
44193,She's the Man (2006),"When her brother decides to ditch for a couple weeks in London, Viola heads over to his elite boarding school, disguises herself as him, and proceeds to fall for one of her soccer teammates. Little does she realize she's not the only one with romantic troubles, as she, as he, gets in the middle of a series of intermingled love affairs.",romance
44555,"Lives of Others, The (Das leben der Anderen) (2006)","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",romance
44717,Lisbela e o Prisioneiro (Lisbela and the Prisoner) (2003),"Lisbela is a young woman who loves going to the movies. Lelu is a con man, going from town to town selling all sort of things and performing as master of ceremonies for some cheesy numbers, such as the woman who gets transformed into a gorilla. He gets involved with Linaura, a sexy and beautiful woman who happens to be the wife of the most frightening hitman of the place. The hitman finds out his wife's affair and goes after Lelu, who has to leave in a hurry. In another town, he meets and falls instantly in love with Lisbela, who is engaged to Douglas, a hillbilly who tries hard to pass for a cosmopolitan Rio de Janeiro dweller.",comedy
44828,Slither (2006),"In this blend of the B movie classic The Blob (1958), and some Romero's zombies film, a meteorite collides in a small town. Grant finds it, and is infected by a parasite worm, which installs in his brain and causes him a creepy transformation into a monster. Starla, his wife, and Bill, a policeman, will try to stop him and the plague of worms generated by the creature.",sci-fi
44849,Renaissance (2006),"In 2054, Paris is a labyrinth where all movement is monitored and recorded. Casting a shadow over everything is the city's largest company, Avalon, which insinuates itself into every aspect of contemporary life to sell its primary export -- youth and beauty. In this world of stark contrasts and rigid laws the populace is kept in line and accounted for.",animation
45062,"Sentinel, The (2006)","Special Agent Pete Garrison is convinced that a Neo-Nazi Aryan Disciple has managed to infiltrate the White House. When a White House Agent is murdered, Garrison is framed and blackmailed over an affair with the First Lady Sarah Ballentine. He is relieved of his duties, but Garrison won't stop in trying to prove his innocence, and save the life of the President. While attempting to uncover the person behind it all, he comes into confrontation with his protege, Agent Breckinridge.",action
45186,Mission: Impossible III (2006),Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiance in response .,action
45208,RV (2006),"Bob Munro and his dysfunctional family rent an RV for a road trip to the Colorado Rockies, where they ultimately have to contend with a bizarre community of campers.",comedy
45431,Over the Hedge (2006),"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.",animation
45499,X-Men: The Last Stand (2006),"When a cure is created, which apparently can turn any mutant into a normal human being, there is outrage amongst the mutant community. Whilst some mutants do like the idea of a cure, including Rogue, many mutants find that there shouldn't be a cure. Magneto, who still believes a war is coming, recruits a large team of mutants to take down Warren Worthington II and his cure. Might seem easy for the X-Men to stop, but Magneto has a big advantage, which Wolverine doesn't have. Jean Grey has returned, and joined with Magneto. The Phoenix has woken within her, which has the ability to destroy anything in her way, even if that 'anything' is a X-Men.",sci-fi
45501,"Break-Up, The (2006)","In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.",comedy
45517,Cars (2006),"While traveling to California for the dispute of the final race of the Piston Cup against The King and Chick Hicks, the famous Lightning McQueen accidentally damages the road of the small town Radiator Springs and is sentenced to repair it. Lightning McQueen has to work hard and finds friendship and love in the simple locals, changing its values during his stay in the small town and becoming a true winner.",comedy
45666,Nacho Libre (2006),"Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler).",comedy
45672,Click (2006),"Michael Newman (Sandler) is a hard working family man, who must please his boss (Hasselhoff), in order to get promoted. Problem is he gets less time with his family, and wishes for a remote in which he can control his life. This soon comes true for Newman, when he meets Morty (Walken), a crazy sales clerk, who has the ultimate remote. A remote in which he can do anything, including muting, skipping and dubbing his life. He finds this to be the opportunity in which he can not only skip every argument, but also skip to his promotion. He sees this as a good idea, until the remote goes horribly wrong.",comedy
45720,"Devil Wears Prada, The (2006)","In New York, the simple and naive just-graduated in journalism Andrea Sachs is hired to work as the second assistant of the powerful and sophisticated Miranda Priestly, the ruthless and merciless executive of the Runway fashion magazine. Andrea dreams to become a journalist and faces the opportunity as a temporary professional challenge. The first assistant Emily advises Andrea about the behavior and preferences of their cruel boss, and the stylist Nigel helps Andrea to dress more adequately for the environment. Andrea changes her attitude and behavior, affecting her private life and the relationship with her boyfriend Nate, her family and friends. In the end, Andrea learns that life is made of choices.",comedy
45722,Pirates of the Caribbean: Dead Man's Chest (2006),"Once again we're plunged into the world of sword fights and ""savvy"" pirates. Captain Jack Sparrow is reminded he owes a debt to Davy Jones, who captains the flying Dutchman, a ghostly ship, with a crew from hell. Facing the ""locker"" Jack must find the heart of Davy Jones but to save himself he must get the help of quick-witted Will Turner and Elizabeth Swan. If that's not complicated enough, Will and Elizabeth are sentenced to hang, unless will can get Lord Cutler Beckett Jack's compass, Will is forced to join another crazy adventure with Jack.",action
45730,Lady in the Water (2006),"Cleveland Heep, a stuttering apartment superintendent, encounters a girl named Story swimming in the complex's pool. He soon learns that she comes from the Blue World, and has a message for mankind. Will he be able to help her complete her mission?",fantasy
46322,Jet Li's Fearless (Huo Yuan Jia) (2006),"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",action
46335,"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)",A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,fantasy
46578,Little Miss Sunshine (2006),A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,comedy
46855,Army of Shadows (L'armée des ombres) (1969),"France, 1942, during the occupation. Philippe Gerbier, a civil engineer, is one of the French Resistance's chiefs. Given away by a traitor, he is interned in a camp. He manages to escape, and joins his network at Marseilles, where he makes the traitor be executed... This non-spectacular movie (do not expect any Rambo or Robin Hood) shows us rigorously and austerely the everyday of the French Resistants : their solitude, their fears, their relationships, the arrests, the forwarding of orders and their carrying out... Both writer Joseph Kessel and co-writer and director Jean-Pierre Melville belonged to this ""Army in the Shadows"".",action
46948,Monster House (2006),"Three teens discover that their neighbor's house is really a living, breathing, scary monster.",animation
46972,Night at the Museum (2006),"In New York, unemployed and divorced Larry Daley is a complete loser. His son Nick is very disappointed with his father who is going to be evicted. Larry accepts the job of night watchman in the Museum of Natural History and takes the place of three old security guards that have just retired in order to raise some money and pay his bills. On his first shift, Larry soon realizes that everything at the museum is not as it seems as the statues begin to come to life after the sun sets. The Museum transforms into complete chaos with the inexperienced Larry in charge as he learns that an old Egyptian stone that came to the Museum in 1950 brings these statues to life until dawn. When Larry brings his son to spend a night with him, the three old guards break into the Museum to try to steal the magical stone. Larry organizes all the historic characters to help him stop the criminals and save the museum.",fantasy
46976,Stranger than Fiction (2006),"Everybody knows that your life is a story. But what if a story was your life? Harold Crick is your average IRS agent: monotonous, boring, and repetitive. But one day this all changes when Harold begins to hear an author inside his head narrating his life. The narrator it is extraordinarily accurate, and Harold recognizes the voice as an esteemed author he saw on TV. But when the narration reveals that he is going to die, Harold must find the author of the story, and ultimately his life, to convince her to change the ending of the story before it is too late.",fantasy
47124,"Ant Bully, The (2006)","This is the story of a ten-year-old boy named Lucas Nickle, who has just moved to a new neighborhood, has no friends, and is the target for the local bully and his gang. His parents are leaving for a honeymoon in Puerto Vallarta, so they are too busy to attend to his problems. His sister is distracted by her cellular phone, and the grandmother is obsessed with UFOs and aliens. Lucas is constantly being beat up by the obese yet intimidating neighborhood bully. Because he cannot fight back, he takes out his anger on an anthill in his front yard; He kicks it, stomps it, squirts it with his water gun, and floods it with a hose. This terrifies the ants, who call Lucas the Destroyer. One wizard ant, known as Zoc being a hopeful and adventurous type, is trying to solve this dilemma. He tries to devise a magic potion that he believes will solve all their problems. As the plan to shrink Lucas down to their size with a magic potion and forcing him to live like an ant within the colony--an astonishing new world opens up to him. Lucas learns, first-hand, the value of friendship and teamwork, ultimately leading the ants in an effort to save their colony from annihilation. And in the process, Lucas obtains the things he wants most: friends, companionship, acceptance and the courage to stand up for himself.",animation
47200,Crank (2006),Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,action
47254,Chaos (2005),"Two cops, a rookie and a grizzled vet, pursue an accomplished bank robber.",action
47382,Step Up (2006),"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",romance
47404,Mind Game (2004),"The film follows Nishi, a loser who has a crush on his childhood girlfriend. After an encounter with the Japanese mafia, the film follows Nishi as he journeys to heaven and back, and ends up trapped in an even more unlikely place. Nishi (and some friends) attempt to break out of their trap, and discover what it truly means to be alive along the way. This is a mind-bending trip that uses some of the most innovative animation ever created.",comedy
47610,"Illusionist, The (2006)","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",romance
47937,Severance (2006),During a team-building retreat in the mountains a group of sales representatives are hunted down one by one.,comedy
48043,"Fountain, The (2006)","Three stories - one each from the past, present, and future - about men in pursuit of eternity with their love. A conquistador in Mayan country searches for the tree of life to free his captive queen; a medical researcher, working with various trees, looks for a cure that will save his dying wife; a space traveler, traveling with an aged tree encapsulated within a bubble, moves toward a dying star that's wrapped in a nebula; he seeks eternity with his love. The stories intersect and parallel; the quests fail and succeed.",sci-fi
48061,Snoopy Come Home (1972),Snoopy travels to see his sick former owner and then feels obliged to return to her permanently.,animation
48082,"Science of Sleep, The (La science des rêves) (2006)","Following the death of his father in Mexico, Stphane Miroux, a shy insecure young man, agrees to come to Paris to draw closer to his widowed mother Christine. He lands a boring job at a calendar-making firm and falls in love with his charming neighbor Stphanie. But conquering her is no bed of roses for the young man and the only solution he finds to put up with the difficulties he is going through is escape into a dream world...",fantasy
48159,Everyone's Hero (2006),"A young boy named Yankee Irving finds himself at an extraordinary crossroads: He has a chance to be a hero - and make a difference against incredible odds - or he can play it safe. With faith in himself instilled by his family, he teams up with a sassy young girl and some off-the-wall sidekicks and embarks on a sometimes perilous, often funny, cross-country quest. In the process, he restores his family's honor, befriends the world's biggest sports superstar, and reveals the hero within.",animation
48304,Apocalypto (2006),"As the Mayan kingdom faces its decline, the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw, a young man captured for sacrifice, flees to avoid his fate.",action
48319,Flyboys (2006),"The adventures of the Lafayette Escadrille, young Americans who volunteered for the French military before the U.S. entered World War I, and became the country's first fighter pilots.",romance
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),"Borat Sagdiyev is a TV reporter of a popular show in Kazakhstan as Kazakhstan's sixth most famous man and a leading journalist. He is sent from his home to America by his government to make a documentary about American society and culture. Borat takes a course in New York City to understand American humor. While watching Baywatch on TV, Borat discovers how beautiful their women are in the form of C. J. Parker, who was played by actress Pamela Anderson who hails from Malibu, California. He decides to go on a cross-country road trip to California in a quest to make her his wife and take her back to his country. On his journey Borat and his producer encounter a country full of strange and wonderful Americans, real people in real chaotic situations with hysterical consequences.",comedy
48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)","In 1944 falangist Spain, a girl, fascinated with fairy-tales, is sent along with her pregnant mother to live with her new stepfather, a ruthless captain of the Spanish army. During the night, she meets a fairy who takes her to an old faun in the center of the labyrinth. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks. If she fails, she will never prove herself to be the the true princess and will never see her real father, the king, again.",fantasy
48414,Open Season (2006),"A happily domesticated grizzly bear named Boog, has his perfect world turned upside down after he meets Elliot, a scrawny, fast-talking one-horned wild mule deer. They both end up stranded together in the woods during hunting season and it's up to the duo to rally all the other forest animals and turn the tables on the hunters.",comedy
48501,G.O.R.A. (2004),A slick young Turk kidnapped by extraterrestrials shows his great  humanitarian spirit  by outwitting the evil commander-in-chief of the planet of G.O.R.A.,comedy
48516,"Departed, The (2006)","In South Boston, the state police force is waging war on Irish-American organized crime. Young undercover cop Billy Costigan (Leonardo DiCaprio) is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello (Jack Nicholson). While Billy quickly gains Costello's confidence, Colin Sullivan (Matt Damon), a hardened young criminal who has infiltrated the state police as an informer for the syndicate is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by their double lives, gathering information about the plans and counter-plans of the operations they have penetrated. But when it becomes clear to both the mob and the police that there is a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy - and each must race to uncover the identity of the other man in time to save themselves. But is either willing to turn on their friends and comrades they've made during their long stints undercover?",action
48520,Employee of the Month (2006),"Slacker Zack Bradley works as a box boy at Super Club, a warehouse club store. It is the lowest in the job hierarchy at the store. He doesn't work very hard at his job, and along with some of his fellow employee friends treats the store like his playground. Regardless, he is well liked by most of the other employees. He used to be hard working, when he was developing a dot com, but he lost all his and his grandmother's money in the process. As such, he decided not to take any risks in life while he now lives with her so as to provide her with what he considers at least a more reliable life. On the other extreme is Vince Downey, who lords an air of superiority over his fellow employees as the store's head cashier. He lives to be the store's best employee solely so that he can be named Employee of the Month, which he has been named seventeen months in a row. If he is named Employee of the Month for a record eighteenth time in a row, he will be rewarded with entrance into the corporation's management track program and a new car. Zack decides he wants to break Vince's streak if only because he reads in the employment record of recent transfer, the pretty Amy Renfro, that she had a thing at her previous store for men who have been named Employee of the Month. Zack finds that working toward being Employee of the Month is not as easy as he thought, especially as Vince will not relinquish the title and all its perks without a fight, dirty or not. Zack has to decide how far he is willing to go to get the title and the girl.",comedy
